ts,open,high,low,close,volume
1609185600000,26996.73,27098.38,26678.0,26866.97,3655.9
1609189200000,26866.97,26958.64,26620.4,26627.3,2273.4
1609192800000,26627.31,26940.95,26415.09,26891.69,3469.1
1609196400000,26891.69,27163.77,26836.01,27079.41,2768.6
1609200000000,27079.42,27116.78,26758.88,26811.29,2597.8
1609203600000,26811.27,26857.01,26636.92,26830.53,2422.6
1609207200000,26829.64,26949.07,26727.25,26858.37,1421.3
1609210800000,26858.37,26863.07,26433.78,26444.6,3296.2
1609214400000,26445.5,26583.65,26203.0,26487.62,4009.7
1609218000000,26489.07,26492.0,25880.0,26452.18,5229.1
1609221600000,26452.4,26533.3,26264.52,26356.22,2499.7
1609225200000,26356.23,26462.94,26145.46,26435.63,1894.0
1609228800000,26436.53,26765.35,26434.49,26660.36,3037.2
1609232400000,26660.6,26745.0,26521.14,26590.6,2098.5
1609236000000,26586.94,26860.0,26586.43,26741.03,2462.7
1609239600000,26741.04,26900.0,26565.13,26876.4,2525.7
1609243200000,26874.55,27100.0,26858.51,26893.22,3680.9
1609246800000,26893.22,26977.16,26730.0,26880.0,2050.1
1609250400000,26880.01,26902.22,26600.65,26664.49,2589.5
1609254000000,26664.49,26734.4,26433.0,26614.97,2674.2
1609257600000,26615.28,26625.99,26204.99,26430.84,4570.6
1609261200000,26428.1,26628.98,26243.5,26621.46,3245.1
1609264800000,26621.08,26749.82,26565.01,26591.29,2628.1
1609268400000,26591.38,26943.89,26505.94,26931.62,2870.0
1609272000000,26931.51,27000.0,26743.42,26989.63,2729.8
1609275600000,26990.0,27200.87,26820.38,26913.12,3772.2
1609279200000,26911.36,27117.0,26893.78,27048.32,1592.3
1609282800000,27048.34,27410.0,26945.57,27385.0,3514.2
1609286400000,27385.0,27837.71,27374.87,27630.74,6744.7
1609290000000,27630.75,27720.0,27530.89,27615.85,2038.1
1609293600000,27615.84,28000.0,27498.92,27999.14,4435.2
1609297200000,28000.0,28239.0,27814.67,28065.54,5194.0
1609300800000,28066.57,28205.37,27722.22,27897.49,4097.6
1609304400000,27897.49,28159.0,27828.28,28016.74,2801.3
1609308000000,28016.74,28577.56,27933.0,28380.0,6657.0
1609311600000,28379.99,28598.74,28270.0,28386.62,3640.0
1609315200000,28389.02,28579.92,27559.23,27732.3,7768.6
1609318800000,27732.86,27898.63,27320.0,27855.91,5325.6
1609322400000,27855.91,28063.97,27742.43,27850.02,3071.0
1609326000000,27850.02,27947.92,27595.43,27838.82,2876.3
1609329600000,27836.95,27934.43,27577.0,27858.73,2466.7
1609333200000,27858.72,28167.21,27768.7,27869.61,3489.0
1609336800000,27871.05,28184.44,27871.05,28182.98,2539.7
1609340400000,28182.98,28291.82,27984.19,28153.76,3130.4
1609344000000,28153.75,28240.37,27887.0,28153.78,3010.4
1609347600000,28153.77,28309.88,28050.0,28239.69,2913.7
1609351200000,28239.68,28530.0,28239.68,28510.86,3992.5
1609354800000,28510.86,28900.05,28444.0,28776.46,7242.9
1609358400000,28776.45,28996.0,28603.24,28785.67,4271.3
1609362000000,28785.67,28980.0,28534.7,28875.21,3551.0
1609365600000,28875.21,28903.93,28571.84,28703.88,1915.7
1609369200000,28704.0,28911.52,28630.0,28875.54,2183.2
1609372800000,28875.55,29300.0,28869.78,29120.51,5524.8
1609376400000,29120.5,29177.41,28120.67,28743.57,6991.5
1609380000000,28743.58,28792.76,28600.38,28720.49,1906.4
1609383600000,28720.48,29147.75,28711.06,29024.0,2583.1
1609387200000,29024.01,29185.0,28824.61,29028.35,2767.8
1609390800000,29028.34,29031.66,28738.1,28972.2,2155.5
1609394400000,28972.2,29074.22,28849.5,28859.01,2126.7
1609398000000,28859.02,29285.0,28859.02,29155.25,3192.1
1609401600000,29155.24,29210.83,28780.0,28926.31,3372.8
1609405200000,28926.32,29067.82,28580.0,28989.99,2954.2
1609408800000,28989.99,29168.37,28960.17,29136.49,2032.7
1609412400000,29136.49,29140.0,28888.43,28910.3,2148.7
1609416000000,28910.29,28989.03,28400.0,28617.6,4468.9
1609419600000,28617.65,28635.9,27850.0,28519.0,7710.0
1609423200000,28519.25,28523.47,28111.25,28371.51,3624.6
1609426800000,28371.52,28840.26,28369.53,28770.0,3793.6
1609430400000,28782.01,28822.59,28311.0,28380.6,2970.4
1609434000000,28382.47,28723.68,28362.0,28571.97,2435.6
1609437600000,28571.97,28898.0,28424.56,28872.25,2579.4
1609441200000,28872.24,29000.0,28742.41,28897.83,2293.8
1609444800000,28897.84,29139.65,28862.0,29126.7,1936.5
1609448400000,29126.71,29169.55,28900.79,28966.36,2524.5
1609452000000,28966.36,29143.73,28910.19,29100.84,1438.5
1609455600000,29100.83,29110.35,28780.0,28923.63,1976.4
1609459200000,28923.63,29031.34,28690.17,28995.13,2311.8
1609462800000,28995.13,29470.0,28960.35,29409.99,5403.1
1609466400000,29410.0,29465.26,29120.03,29194.65,2384.2
1609470000000,29195.25,29367.0,29150.02,29278.4,1461.3
1609473600000,29278.41,29395.0,29029.4,29220.31,2038.0
1609477200000,29220.31,29235.28,29084.11,29187.01,1470.0
1609480800000,29187.01,29270.0,29077.32,29174.35,1420.7
1609484400000,29174.35,29191.98,28806.54,29092.83,2380.2
1609488000000,29092.84,29178.03,28872.24,29000.01,2008.2
1609491600000,29000.01,29307.73,28970.0,29202.21,2022.1
1609495200000,29202.21,29344.97,29152.88,29223.82,1944.3
1609498800000,29223.82,29402.57,29212.44,29313.49,2309.2
1609502400000,29313.49,29600.0,29150.0,29233.49,4191.9
1609506000000,29233.49,29470.0,29200.0,29464.79,2211.3
1609509600000,29464.79,29530.0,29266.15,29327.84,2612.7
1609513200000,29327.83,29391.0,29030.14,29188.67,2779.1
1609516800000,29188.67,29360.0,29125.0,29300.57,1490.3
1609520400000,29300.79,29339.76,28937.0,29079.64,2505.0
1609524000000,29077.59,29259.98,28624.57,29072.7,4226.4
1609527600000,29072.7,29125.32,28950.0,29029.04,1629.2
1609531200000,29029.04,29279.72,28880.37,29200.96,1838.5
1609534800000,29200.97,29289.82,29130.0,29160.39,1447.2
1609538400000,29163.17,29326.74,29104.57,29262.32,1127.0
1609542000000,29262.32,29338.89,29228.14,29331.69,971.1
1609545600000,29331.7,29338.59,28946.53,29197.48,2638.2
1609549200000,29197.93,29400.0,29100.0,29359.47,1892.0
1609552800000,29359.46,29469.0,29320.01,29323.82,1704.8
1609556400000,29323.82,29382.49,29256.85,29351.95,1158.0
1609560000000,29351.95,29396.0,29220.0,29349.63,988.7
1609563600000,29349.63,29590.0,29349.63,29589.99,2778.9
1609567200000,29589.99,29745.0,29450.0,29709.07,3030.2
1609570800000,29709.06,29820.5,29623.31,29750.0,3067.8
1609574400000,29751.47,29849.11,29640.0,29844.51,2358.1
1609578000000,29844.52,29899.0,29578.05,29612.87,3188.5
1609581600000,29612.88,29829.0,29473.91,29680.99,2315.2
1609585200000,29679.51,29780.53,29622.79,29755.0,1365.0
1609588800000,29754.99,30888.0,29741.39,30604.03,12772.6
1609592400000,30604.03,31561.87,30521.0,31541.17,9182.4
