ts,open,high,low,close,volume
1526216400000,8581.0,8581.0,8538.0,8570.0,178.54
1526220000000,8570.0,8651.0,8570.0,8650.99,319.33
1526223600000,8650.99,8651.0,8584.44,8619.38,434.65
1526227200000,8619.38,8690.0,8604.76,8656.18,489.02
1526230800000,8656.18,8678.23,8570.81,8578.4,356.03
1526234400000,8578.4,8644.59,8578.39,8639.69,196.86
1526238000000,8639.69,8644.56,8605.0,8622.21,134.13
1526241600000,8622.21,8741.19,8622.21,8715.0,313.12
1526245200000,8715.0,8774.32,8670.0,8670.01,336.28
1526248800000,8670.01,8747.79,8670.0,8747.79,313.75
1526252400000,8747.79,8749.81,8658.0,8686.1,331.41
1526256000000,8686.1,8706.99,8602.0,8680.25,538.26
1526259600000,8680.25,8712.0,8658.0,8694.27,209.51
1526263200000,8694.27,8694.27,8608.05,8633.83,325.2
1526266800000,8633.83,8642.75,8378.0,8405.01,1143.92
1526270400000,8405.01,8435.27,8350.0,8377.07,533.98
1526274000000,8377.07,8383.01,8289.79,8383.01,654.11
1526277600000,8383.01,8400.0,8343.22,8400.0,252.42
1526281200000,8400.0,8400.0,8337.0,8384.81,156.26
1526284800000,8384.81,8439.99,8381.26,8439.98,168.66
1526288400000,8439.98,8440.0,8370.15,8397.86,219.43
1526292000000,8397.86,8429.0,8350.0,8405.64,203.06
1526295600000,8405.64,8449.99,8396.76,8426.28,210.0
1526299200000,8426.28,8429.13,8385.0,8427.46,209.53
1526302800000,8427.46,8725.0,8338.29,8701.99,1640.76
1526306400000,8701.99,8823.0,8681.35,8745.0,1828.47
1526310000000,8745.0,8824.0,8717.38,8783.01,809.13
1526313600000,8783.01,8800.0,8746.04,8773.05,403.99
1526317200000,8773.05,8779.98,8708.68,8743.5,277.03
1526320800000,8743.5,8755.0,8718.05,8730.88,382.19
1526324400000,8730.88,8775.0,8730.0,8750.0,428.39
1526328000000,8750.0,8880.01,8749.55,8809.44,1214.64
1526331600000,8809.44,8846.95,8720.15,8738.21,471.08
1526335200000,8738.21,8753.99,8611.0,8611.0,705.93
1526338800000,8611.0,8694.0,8610.36,8670.0,432.39
1526342400000,8670.0,8750.0,8666.2,8705.0,621.95
1526346000000,8705.0,8729.9,8661.25,8709.11,214.76
1526349600000,8709.11,8728.09,8628.05,8672.7,306.41
1526353200000,8672.7,8714.01,8638.0,8714.01,220.95
1526356800000,8714.01,8740.24,8676.36,8687.03,394.94
1526360400000,8687.03,8747.75,8687.0,8724.97,331.15
1526364000000,8724.97,8797.18,8711.49,8739.91,331.29
1526367600000,8739.91,8759.1,8721.79,8739.92,92.65
1526371200000,8739.92,8739.92,8659.0,8723.11,324.42
1526374800000,8723.11,8739.92,8712.52,8712.52,157.85
1526378400000,8712.52,8847.0,8701.85,8800.0,749.74
1526382000000,8800.0,8810.0,8745.5,8761.05,164.04
1526385600000,8761.05,8784.0,8745.82,8765.03,213.71
1526389200000,8765.03,8765.03,8691.86,8750.0,464.41
1526392800000,8750.0,8750.0,8480.0,8519.99,1062.72
1526396400000,8519.99,8548.34,8485.28,8530.9,627.08
1526400000000,8530.9,8590.32,8507.08,8536.05,448.25
1526403600000,8536.05,8564.12,8505.23,8554.36,446.23
1526407200000,8554.36,8554.36,8420.45,8513.6,1155.09
1526410800000,8513.6,8569.62,8456.7,8552.24,828.19
1526414400000,8552.24,8566.39,8500.0,8519.99,278.55
1526418000000,8519.99,8551.62,8500.0,8500.0,218.66
1526421600000,8500.0,8561.87,8431.03,8461.99,405.95
1526425200000,8461.99,8504.34,8451.89,8477.46,191.03
1526428800000,8477.46,8500.0,8426.19,8463.01,246.58
1526432400000,8463.01,8475.0,8283.14,8329.99,679.63
1526436000000,8329.99,8339.95,8104.99,8137.04,1218.79
1526439600000,8137.04,8211.51,8135.61,8167.73,701.87
1526443200000,8167.73,8280.0,8167.73,8219.84,388.74
1526446800000,8219.84,8235.14,8175.0,8206.68,367.03
1526450400000,8206.68,8259.0,8182.47,8234.25,257.91
1526454000000,8234.25,8255.58,8218.67,8227.88,101.71
1526457600000,8227.88,8240.0,8200.0,8215.01,106.75
1526461200000,8215.01,8249.19,8203.46,8233.06,125.64
1526464800000,8233.06,8436.14,8233.05,8370.0,485.95
1526468400000,8370.0,8436.37,8367.71,8367.71,197.8
1526472000000,8367.71,8395.05,8348.46,8352.9,113.62
1526475600000,8352.9,8368.0,8114.36,8175.0,790.57
1526479200000,8175.0,8220.5,8166.02,8218.25,348.34
1526482800000,8218.25,8360.0,8209.67,8275.01,784.68
1526486400000,8275.01,8326.31,8220.0,8262.22,498.23
1526490000000,8262.22,8354.0,8252.03,8290.2,857.89
1526493600000,8290.2,8343.65,8271.13,8279.9,204.77
1526497200000,8279.9,8375.63,8240.0,8240.0,360.55
1526500800000,8240.0,8294.3,8225.18,8291.23,362.87
1526504400000,8291.23,8310.0,8263.64,8284.68,176.19
1526508000000,8284.68,8379.04,8282.34,8292.22,302.85
1526511600000,8292.22,8353.75,8282.97,8344.0,235.24
1526515200000,8344.0,8398.97,8326.41,8350.75,256.92
1526518800000,8350.75,8370.35,8320.0,8365.1,301.1
1526522400000,8365.1,8394.0,8359.46,8369.97,270.81
1526526000000,8369.97,8482.01,8323.57,8360.0,546.36
1526529600000,8360.0,8380.0,8321.65,8321.66,188.99
1526533200000,8321.66,8369.66,8280.23,8359.97,256.53
1526536800000,8359.97,8377.84,8337.3,8337.3,107.41
1526540400000,8337.3,8346.6,8200.0,8249.6,530.29
1526544000000,8249.6,8280.0,8235.05,8260.0,138.95
